,time,count
0,1994,5.25
1,1995,4.9655172413793105
2,1996,4.166666666666667
3,1997,6.115384615384615
4,1998,8.833333333333334
5,1999,10.360655737704919
6,2000,13.061538461538461
7,2001,13.587301587301587
8,2002,20.227272727272727
9,2003,13.581395348837209
10,2004,19.6
11,2005,13.311111111111112
12,2006,18.321428571428573
13,2007,19.302325581395348
14,2008,35.6031746031746
15,2009,28.533333333333335
16,2010,26.16923076923077
17,2011,26.348837209302324
18,2012,34.80597014925373
19,2014,29.53731343283582
20,2016,28.79032258064516
