year,abundance
indicator,abundance
units,count / sampling-day
extent,FKNMS
1994,41.76923076923077
1995,28.862068965517242
1996,45.61538461538461
1997,48.241379310344826
1998,43.857142857142854
1999,31.285714285714285
2000,41.56521739130435
2001,29.016129032258064
2002,35.30232558139535
2003,29.813953488372093
2004,76.63414634146342
2005,33.36363636363637
2006,61.29090909090909
2007,45.59090909090909
2008,100.41269841269842
2009,50.96666666666667
2010,81.5625
2011,50.30952380952381
2012,103.15151515151516
2014,107.1029411764706
2016,88.07936507936508
